@relation dataset_v3_10_12

@attribute household_key numeric
@attribute products_purchased numeric
@attribute no_of_stores numeric
@attribute no_of_orders numeric
@attribute total_visits numeric
@attribute no_of_national_products numeric
@attribute recency numeric
@attribute weekend_visits numeric
@attribute BrandNationalPercent numeric
@attribute PercentWeekendVisits numeric
@attribute Average_Basket_Size numeric
@attribute AGE_INDEX numeric
@attribute INCOME_INDEX numeric
@attribute HOUSEHOLD_SIZE_INDEX numeric
@attribute total_sales_log numeric
@attribute total_sales_class {Medium,Low,High}

@data
922,1076,16,135,114,768,14,54,71,47,7.97037,4,4,1,7.985222,Medium
926,2657,9,194,180,1414,8,56,53,31,13.695876,3,1,2,8.616868,Medium
929,3141,13,196,169,1734,8,63,55,37,16.02551,4,3,2,8.426804,Medium
932,2746,3,154,132,1458,21,43,53,33,17.831169,1,2,2,8.671664,Medium
934,5913,6,213,144,2959,4,35,50,24,27.760563,4,1,1,9.248739,High
939,3765,5,145,105,1192,3,30,32,29,25.965517,4,6,2,8.545715,Medium
941,706,9,115,97,553,2,30,78,31,6.13913,1,11,2,7.608637,Low
946,1468,15,136,117,848,3,42,58,36,10.794118,1,1,1,7.836152,Low
947,1270,4,217,196,782,2,49,62,25,5.852535,6,4,1,7.726879,Low
949,2323,5,99,93,1380,5,28,59,30,23.464646,2,5,2,8.441161,Medium
955,2330,16,237,184,1369,1,51,59,28,9.831224,1,1,1,8.21962,Medium
956,2849,5,524,398,1753,1,126,62,32,5.437023,4,5,2,8.9211,High
960,805,6,105,99,483,2,24,60,24,7.666667,3,8,5,7.789243,Low
968,5104,5,167,157,1986,1,58,39,37,30.562874,3,4,2,9.190659,High
97,2104,6,141,135,1252,6,46,60,34,14.921986,4,6,1,8.391551,Medium
971,1582,2,124,118,902,1,34,57,29,12.758065,2,4,3,8.206786,Medium
973,4992,5,76,72,3154,2,4,63,6,65.684211,3,5,4,9.491284,High
976,2417,4,81,76,1505,6,27,62,36,29.839506,2,11,5,8.72431,Medium
979,5523,11,176,154,3901,2,39,71,25,31.380682,3,4,2,9.396951,High
98,1810,6,205,157,1016,2,51,56,32,8.829268,3,4,2,7.842789,Low
981,523,4,36,32,311,22,16,59,50,14.527778,4,3,2,7.240011,Low
982,6977,9,266,231,4237,2,83,61,36,26.229323,4,4,4,9.651499,High
983,1830,2,195,170,1039,1,40,57,24,9.384615,4,4,3,8.244636,Medium
986,814,4,90,84,427,14,41,52,49,9.044444,2,4,1,7.510907,Low
992,238,4,90,79,190,1,27,80,34,2.644444,4,4,3,6.506337,Low
993,1555,6,122,115,1007,9,41,65,36,12.745902,5,5,5,8.014868,Medium
996,1055,4,138,125,549,1,36,52,29,7.644928,5,3,2,7.699729,Low
997,1798,9,86,82,813,2,25,45,30,20.906977,4,6,1,8.393635,Medium
